Stories,,,,
Sales by Items By Group,,,,
ICED LATTE MEDIUM,,2605.0,"621,121.77",
ICED MOCHA SMALL,,338.0,"54,684.68",
ICED MOCHA MEDIUM,,339.0,"92,755.56",
ICED WHITE MOCHA SMALL,,1249.0,"256,086.85",
ICED WHITE MOCHA MEDIUM,,1888.0,"515,809.13",
ICED AMERICANO LARGE,,123.0,"33,878.61",
ICED LATTE LARGE,,708.0,"199,489.73",
ICED MOCHA LARGE,,69.0,"21,593.96",
ICED WHITE MOCHA LARGE,,501.0,"155,063.09",
DOUBLE SHOT SHAKEN MEDIUM,,1013.0,"243,831.81",
DOUBLE SHOT SHAKEN LARGE,,193.0,"54,185.35",
ICED MATCHA LATTE SMALL,,953.0,"192,352.97",
ICED MATCHA LATTE MEDIUM,,1651.0,"402,051.29",
ICED MATCHA LATTE LARGE,,775.0,"221,634.24",
DOUBLE SHOT SHAKEN SMALL,,1286.0,"166,815.62",
ICED CARAMEL MACCHIATO SMALL,,791.0,"187,752.28",
ICED CARAMEL MACCHIATO MEDIUM,,1642.0,"454,097.90",
ICED CARAMEL MACCHIATO LARGE,,417.0,"133,285.62",
ICED TOFFEE NUT LATTE SMALL,,31.0,"7,376.70",
19-Jan-26,Years:2025 Months:0,,Page 4 of, 359
Description,Barcode,Qty,Total Amount,
ICED TOFFEE NUT LATTE MEDIUM,,96.0,"25,806.13",
ICED CLASSIC CHOC MEDIUM,,54.0,"14,766.13",
ICED CLASSIC CHOC SMALL,,37.0,"8,665.59",
BLUE NADE,,332.0,"89,044.32",
ICED DOUBLE SHOT TOFFEE NUT SMALL,,6.0,"1,428.42",
ICED DOUBLE SHOT TOFFEE NUT MEDIUM,,3.0,"800.24",
SIGNATURE ICED CHOCOLATE SMALL,,9.0,"1,921.92",
SIGNATURE ICED CHOCOLATE MEDIUM,,12.0,"3,360.36",
ICED TOFFEE NUT LATTE LARGE,,16.0,"5,267.87",
ICED CLASSIC CHOC LARGE,,10.0,"3,145.95",
SIGNATURE ICED CHOCOLATE LARGE,,3.0,"912.91",
ICED SPANISH LATTE SMALL,,662.0,"158,023.48",
ICED SPANISH LATTE MEDIUM,,1249.0,"377,626.18",
ICED SALTED CARAMEL LATTE SMALL,,173.0,"40,807.87",
ICED SALTED CARAMEL LATTE MEDIUM,,326.0,"91,862.82",
ICED SALTED CARAMEL LATTE LARGE,,78.0,"26,349.25",
COLD BREW BOTTLE,,436.0,"59,258.26",
Total by Group: MIXED COLD BEVERAGES,,22639.0,"5,360,581.63",
Group: BLENDED BRINKS,,,,
COFFEE FRAPPE SMALL,,225.0,"43,743.06",
COFFEE FRAPPE MEDIUM,,229.0,"53,259.07",
CARAMEL FRAPP SMALL,,1640.0,"384,807.72",
CARAMEL FRAPP MEDIUM,,2287.0,"634,455.14",
CARAMEL FRAPP LARGE,,846.0,"276,544.61",
COFFEE FRAPP LARGE,,181.0,"48,653.69",
MOCHA FRAPP SMALL,,375.0,"83,627.09",
MOCHA FRAPP MEDIUM,,725.0,"197,497.30",
MOCHA FRAPP LARGE,,303.0,"91,741.29",
ESPRESSO FRAPP SMALL,,420.0,"78,662.16",
ESPRESSO FRAPP MEDIUM,,618.0,"143,655.98",
ESPRESSO FRAPP LARGE,,130.0,"34,910.99",
VANILLA CREAM FRAPP SMALL,,147.0,"32,336.64",
VANILLA CREAM FRAPP MEDIUM,,140.0,"36,749.19",
VANILLA CREAM FRAPP LARGE,,42.0,"12,720.84",
WHITE MOCHA FRAPP SMALL,,268.0,"61,754.50",
WHITE MOCHA FRAPP MEDIUM,,413.0,"110,217.30",
WHITE MOCHA FRAPP LARGE,,165.0,"50,469.37",
19-Jan-26,Years:2025 Months:0,,Page 5 of, 359
Description,Barcode,Qty,Total Amount,
WHITE MOCHA CREAM FRAPP SMALL,,38.0,"8,269.04",
WHITE MOCHA CREAM FRAPP MEDIUM,,71.0,"18,906.31",
CHOCOLATE CREAM FRAPP MEDIUM,,396.0,"108,678.32",
CHOCOLATE CREAM FRAPP LARGE,,53.0,"14,921.86",
WHITE MOCHA CREAM FRAPP LARGE,,33.0,"10,013.84",
CHOCOLATE CREAM FRAP SMALL,,283.0,"63,877.45",
CARAMEL CREAM  FRAPP MEDIUM,,305.0,"83,562.52",
CARAMEL CREAM  FRAPP LARGE,,53.0,"16,764.29",
CARAMEL CREAM FRAPP SMALL,,391.0,"89,490.90",
MATCHA CREAM  FRAPP SMALL,,160.0,"33,093.81",
MATCHA CREAM FRAPP MEDIUM,,248.0,"65,878.44",
MATCHA CREAM FRAPP LARGE,,130.0,"40,027.60",
