Stories,,,,,,,,,
Theoretical Profit By Item,,,,,,,,,
22-Jan-26,,,Years:2025 Month:0,,,,Page 1 of,, 396
Product Desc,Qty,Total Price,,Total Cost,Total Cost %,Total Profit,,Total Profit %,
Stories - Bir Hasan,,,,,,,,,
TAKE AWAY,,,,,,,,,
BEVERAGES,,,,,,,,,
COLD BAR SECTION,,,,,,,,,
WHITE MOCHA LARGE,261.00,"80,902.37",,"21,961.82",27.15,"58,940.55",,72.85,
WHITE MOCHA MEDIUM,"1,610.00","421,235.93",,"106,843.21",25.36,"314,392.72",,74.64,
WHITE MOCHA SMALL,"2,326.00","433,040.67",,"111,640.93",25.78,"321,399.74",,74.22,
YIRGACHEFFE BEANS 250G,22.00,"13,939.94",,"6,563.33",47.08,"7,376.61",,52.92,
Total By Division:,"27,962.12","5,740,051.13",,"1,279,135.29",22.28,"4,460,915.84",,77.72,
Total By Category:,"109,206.6","1,452,394.17",,"3,263,444.34",22.47,"11,260,497.35",,77.53,
FOOD,,,,,,,,,
CINNAMON ROLLS,,,,,,,,,
CHOCOLATE ROLL LARGE,326.00,"83,220.72",,"19,132.31",22.99,"64,088.41",,77.01,
CLASSIC CINNAMON ROLL LARGE,"1,920.00","546,097.90",,"96,533.70",17.68,"449,564.20",,82.32,
EXTRA CREAM CHEESE FROSTING MIX,18.00,"582.88",,"177.62",30.47,"405.26",,69.53,
LOTUS ROLL,66.00,"24,236.94",,"4,029.36",16.62,"20,207.57",,83.38,
RED CINNAMON ROLL,107.00,"37,000.90",,"5,922.41",16.01,"31,078.49",,83.99,
Total By Division:,"2,437.00","691,139.34",,"125,795.40",18.20,"565,343.94",,81.80,
COFFEE PASTRY,,,,,,,,,
APRICOT SABLE,67.00,"15,999.73",,"5,996.50",37.48,"10,003.23",,62.52,
BLUEBERRY CHEESE CAKE,223.00,"80,834.53",,"54,952.40",67.98,"25,882.13",,32.02,
BLUEBERRY MUFFIN,168.00,"34,421.68",,"7,423.84",21.57,"26,997.84",,78.43,
BROWNIES CAKE,751.00,"119,998.50",,"49,290.63",41.08,"70,707.87",,58.92,
CARROT CAKE,167.00,"48,688.11",,"16,540.79",33.97,"32,147.32",,66.03,
